headline,body,time_published,Text,category
"China, India's COVID-19 vaccinations to stretch to late 2022: study","SINGAPORE: COVID-19 vaccination programmes in China and India will stretch until late 2022 due to the sheer size of their population, and more than 85 poor countries will...",272021.0,china india covid vaccination stretch late study singapore covid vaccination programme china india stretch late due sheer size population poor country will...,Art & Culture
"Earth is losing ice faster today than in the mid-1990s, study suggests","Annual ice melt rate 57% faster than three decades ago
 	Findings were a surprise, co-author says

ANCHORAGE, ALASKA: Earthâ€™s ice is melting faster today than in...",252021.0,earth losing ice faster today mid study suggests annual ice melt rate faster three decade ago finding surprise co author say anchorage alaska earth ice melting faster today in...,Art & Culture
Nepal to turn Everest trash into art to highlight mountain’s garbage blight,"KATHMANDU: Trash collected from Mount Everest is set to be transformed into art and displayed in a nearby gallery, to highlight the need to save the worldâ€™s tallest...",212021.0,nepal turn everest trash art highlight mountain garbage blight kathmandu trash collected mount everest set transformed art displayed nearby gallery highlight need save world tallest...,Art & Culture
Ace equipment,"KATHMANDU: Spark Automotives has launched Ace branded heavy equipment popular in India in the country.



The heavy equipment under the brand includes three- to...",202021.0,ace equipment kathmandu spark automotives launched ace branded heavy equipment popular india country. heavy equipment brand includes three to...,Art & Culture
Magicians mark 100 years of sawing people in half,"LONDON: He came, he sawed, he conquered. One hundred years ago on Sunday, illusionist PT Selbit put a woman in a box on the stage of London's Finsbury Park Empire and sawed...",152021.0,magician mark year sawing people half london came sawed conquered. one hundred year ago sunday illusionist pt selbit put woman box stage london finsbury park empire sawed...,Art & Culture
"US asks Tesla to recall 158,000 vehicles for touchscreen failures","WASHINGTON: The National Highway Traffic Safety Administration (NHTSA) on Wednesday asked Tesla Inc to recall 158,000 Model S and Model X vehicles over media control unit...",142021.0,u asks tesla recall vehicle touchscreen failure washington national highway traffic safety administration nhtsa wednesday asked tesla inc recall model model x vehicle medium control unit...,Art & Culture
Urban air quality less improved by COVID lockdowns than first believed,"ROME: Lockdowns during the first wave of COVID-19 had a much smaller impact on urban air quality than first expected, a study of 11 global cities, from Wuhan to New York,...",142021.0,urban air quality le improved covid lockdown first believed rome lockdown first wave covid much smaller impact urban air quality first expected study global city wuhan new york ...,Art & Culture
"2020 ties with 2016 as world's hottest year on record, EU climate change service says","BRUSSELS/LONDON: Last year tied with 2016 as the world's warmest year on record, rounding off the hottest decade globally as the impacts of climate change intensified, the...",82021.0,tie world hottest year record eu climate change service say brussels london last year tied world warmest year record rounding hottest decade globally impact climate change intensified the...,Art & Culture
Australia sweltered through its 4th-hottest year in 2020,"CANBERRA, AUSTRALIA: Australia sweltered through its fourth-hottest year on record last year despite the recent return of the usually cooling La Nina climate pattern, the...",82021.0,australia sweltered th hottest year canberra australia australia sweltered fourth hottest year record last year despite recent return usually cooling la nina climate pattern the...,Art & Culture
New Mercedes screen to stretch nearly full width of car,"FRANKFURT, GERMANY: Daimler's Mercedes-Benz has unveiled a key interior component of its upcoming electric luxury sedan: a large, curved screen that sweeps across almost...",82021.0,new mercedes screen stretch nearly full width car frankfurt germany daimler mercedes benz unveiled key interior component upcoming electric luxury sedan large curved screen sweep across almost...,Art & Culture
First trans beauty pageant finalist makes history in Nepal,KATHMANDU: When Angel Lama sashays down the catwalk in the Miss Universe Nepal finals on Wednesday she will make history as the first transgender woman to be a finalist in...,292020.0,first trans beauty pageant finalist make history nepal kathmandu angel lama sashay catwalk miss universe nepal final wednesday make history first transgender woman finalist in...,Art & Culture
"In Christmas message curbed by Covid, pope calls on nations to share vaccines","VATICAN CITY: Pope Francis called in his Christmas message on Friday for nations to share Covid-19vaccines, saying walls of nationalism could not be built to stop a...",252020.0,christmas message curbed covid pope call nation share vaccine vatican city pope francis called christmas message friday nation share covid vaccine saying wall nationalism could built stop a...,Art & Culture
Nepal's Christians to mark Christmas church service virtually,"KATHMANDU: The sparkling stars, beautiful bells, reindeer and lights decked around the trees, congregations exchanging gifts and singing hymns in Naya Gaun Church of...",252020.0,nepal christian mark christmas church service virtually kathmandu sparkling star beautiful bell reindeer light decked around tree congregation exchanging gift singing hymn naya gaun church of...,Art & Culture
Chef Santosh Shah's MasterChef run is inspirational!,"Chef Shah is not just an inspiration, but also a notion for change. Why? In Nepal, a chef is often described as bhansey or cook, but now as Chef Shah has achieved so much,...",172020.0,chef santosh shah masterchef run inspirational chef shah inspiration also notion change. nepal chef often described bhansey cook chef shah achieved much ...,Art & Culture
