headline,body,time_published,Text,category
"LGI, SICL ink pact",Lumbini General Insurance Company Ltd (LGI) and Sagarmatha Insurance Company Ltd (SICL) have signed a merger agreement.,10.0,lgi sicl ink pact lumbini general insurance company ltd lgi sagarmatha insurance company ltd sicl signed merger agreement.,Business
PATA DMC 2023,"The Pacific Asia Travel Association (PATA) Nepal Chapter organised the first-of-its-kind event, the Destination Marketing Conclave (DMC 2023) from January 27 to 30 in Eastern Nepal to explore, promote, discuss and exchange ideas on promoting Province 1 as a promising tourism destination.",11.0,pata dmc pacific asia travel association pata nepal chapter organised first kind event destination marketing conclave dmc january eastern nepal explore promote discus exchange idea promoting province promising tourism destination.,Business
FTTEN's plea to govt,"Truck entrepreneurs met with Lila Giri, chief minister for Lumbini Province, on Tuesday and requested him to address the issues related to entry of Indian trucks in the country, inspection of transport road permits and in the renewal of their bill books and requested the minister to address them.",11.0,ftten plea govt truck entrepreneur met lila giri chief minister lumbini province tuesday requested address issue related entry indian truck country inspection transport road permit renewal bill book requested minister address them.,Business
Gold price rises by Rs 500 per tola,"The price of gold rose by Rs 500 per tola (11.66 grams) today compared to the previous day to be traded at Rs 106,300 per tola.",11.0,gold price rise r per tola price gold rose r per tola . gram today compared previous day traded r per tola.,Business
Jagdamba products,"Jagdamba Steels, Nepal’s first automated steel manufacturing company, has announced the continued international export of Jagdamba Supershine and Jagdamba Galva+ (premium Al-Zn colour-coated and plain sheets and coils).",12.0,jagdamba product jagdamba steel nepal first automated steel manufacturing company announced continued international export jagdamba supershine jagdamba galva premium al zn colour coated plain sheet coil .,Business
"Global growth to fall to 2.9pc, global inflation at 6.6pc in 2023: IMF",The International Monetary Fund (IMF) has projected global growth to fall from an estimated 3.4 per cent in 2022 to 2.9 per cent in 2023 and rise to 3.1 per cent in 2024.,13.0,global growth fall .pc global inflation .pc imf international monetary fund imf projected global growth fall estimated . per cent . per cent rise . per cent .,Business
NRB increases cap on digital transactions,"The Nepal Rastra Bank (NRB) today issued the ‘Unified Directive on Payment System-2023’, which has relaxed the daily transaction cap for digital payments.",13.0,nrb increase cap digital transaction nepal rastra bank nrb today issued unified directive payment system relaxed daily transaction cap digital payments.,Business
"Mahindra rolls out its flagship SUV, XUV700, in Nepal","Mahindra & Mahindra, India’s leading SUV manufacturer, on Monday launched its flagship global SUV — the XUV700 — in Nepal, making the long-awaited launch of the flagship SUV, a reality.",1.0,mahindra roll flagship suv xuv nepal mahindra mahindra india leading suv manufacturer monday launched flagship global suv xuv nepal making long awaited launch flagship suv reality.,Business
"FinMin tells RBS, RBC to complete audit within three months",The Ministry of Finance has directed the Rastriya Beema Sansthan (RBS) and Rastriya Beema Company (RBC) to complete their audit within three months.,1.0,finmin tell rb rbc complete audit within three month ministry finance directed rastriya beema sansthan rb rastriya beema company rbc complete audit within three months.,Business
'Need collective efforts to resolve issues faced by migrant workers',"Members of trade unions, civil society organisations, and recruitment agencies have expressed concerns over reports of agents swindling people in the name of foreign employment, people being charged large sums of money by recruitment agencies, and violation of migrant rights abroad, among other issues.",1.0,need collective effort resolve issue faced migrant worker member trade union civil society organisation recruitment agency expressed concern report agent swindling people name foreign employment people charged large sum money recruitment agency violation migrant right abroad among issues.,Business
