headline,body,time_published,Text,category
Nepathya leaves audience spellbound at Adelaide concert,"From folk tune filled 'Sirfula' to sentimental hit 'Yo Zindagani', the audience swayed and sang with Amrit Gurung, Nepathya vocalist.",292023.0,nepathya leaf audience spellbound adelaide concert folk tune filled sirfula sentimental hit yo zindagani audience swayed sang amrit gurung nepathya vocalist.,Entertainment
Nepathya begins Australia tour with Darwin concert,"The band played a mix of old and new hits, much to the delight of the audience.",262023.0,nepathya begin australia tour darwin concert band played mix old new hit much delight audience.,Entertainment
SRK fans over the moon as 'Badshah' thanks them for support,Bollywood star Shah Rukh Khan responded to a Facebook post that shared information about his fans in Nepal ‘booking’ the entire hall for the first day-first show of his upcoming movie Pathaan at a cinema in the capital.,252023.0,srk fan moon badshah thanks support bollywood star shah rukh khan responded facebook post shared information fan nepal booking entire hall first day first show upcoming movie pathaan cinema capital.,Entertainment
'Everything Everywhere' tops Oscar nominations with 11,'Everything Everywhere' tops Oscar nominations with 11,242023.0,everything everywhere top oscar nomination everything everywhere top oscar nomination,Entertainment
Here's what to expect from Tuesday's Oscar nominations,Here's what to expect from Tuesday's Oscar nominations,212023.0,expect tuesday oscar nomination expect tuesday oscar nomination,Entertainment
Nepathya to perform in Australia,"After the grand success of 'Music for Humanity' tour across 10-cities in Nepal, Nepathya renowned folk-rock band is all set to perform in Australia.",192023.0,nepathya perform australia grand success music humanity tour across city nepal nepathya renowned folk rock band set perform australia.,Entertainment
Miss USA R'Bonney Gabriel wins Miss Universe Competition,"According to Miss Universe, Gabriel is a former high school volleyball player and graduate of the University of North Texas.",162023.0,miss usa r bonney gabriel win miss universe competition according miss universe gabriel former high school volleyball player graduate university north texas.,Entertainment
Nepathya concludes month-long tour with style in Kathmandu,"Nepal's pioneer folk-rock band, Nepathya has concluded it's month-long nationwide 'Music for Humanity' tour with a massive performance in Kathmandu on Saturday.",12023.0,nepathya concludes month long tour style kathmandu nepal pioneer folk rock band nepathya concluded month long nationwide music humanity tour massive performance kathmandu saturday.,Entertainment
Nepathya rocks Butwal with 'Music for Humanity' concert,"Nepathya, Nepal's famous folk-rock band, rocked Butwal with it's mesmerizing performance 'Music for Humanity' on Saturday.",252022.0,nepathya rock butwal music humanity concert nepathya nepal famous folk rock band rocked butwal mesmerizing performance music humanity saturday.,Entertainment
Nepathya performs 'Music for Humanity' in Dhangadhi,"After a grand success in Nepalgunj, Nepal's famous folk-rock band, Nepathya performed 'Music for Humanity' in Dhangadhi on Sunday.",192022.0,nepathya performs music humanity dhangadhi grand success nepalgunj nepal famous folk rock band nepathya performed music humanity dhangadhi sunday.,Entertainment
