headline,body,time_published,Text,category
UK expands vaccinations; 6 million shots given,LONDON: Britain is expanding a coronavirus vaccination program that has seen almost 6 million people get the first of two doses -- even as the country’s death toll in the...,242021.0,uk expands vaccination million shot given london britain expanding coronavirus vaccination program seen almost million people get first two dos even country death toll the...,Environment 
UK doctors seek review of 12-week gap between vaccine doses,LONDON: A major British doctors' group says the UK government should “urgently review” its decision to give people a second dose of the Pfizer-BioNTech coronavirus...,242021.0,uk doctor seek review week gap vaccine dos london major british doctor group say uk government urgently review decision give people second dose pfizer biontech coronavirus...,Environment 
WHO says Pfizer deal could allow poor countries to start vaccinating in Feb.,GENEVA: The World Health Organization said on Friday it had reached an agreement with Pfizer/BioNTech for 40 million doses of its COVID-19 vaccine and should be able to...,232021.0,say pfizer deal could allow poor country start vaccinating feb. geneva world health organization said friday reached agreement pfizer biontech million dos covid vaccine able to...,Environment 
South African virus variant may resist antibody drugs; Pfizer/BioNTech vaccine seems to work vs UK variant,"The following is a roundup of some of the latest scientific studies on the novel coronavirus and efforts to find treatments and vaccines for COVID-19, the illness caused by...",212021.0,south african virus variant may resist antibody drug pfizer biontech vaccine seems work v uk variant following roundup latest scientific study novel coronavirus effort find treatment vaccine covid illness caused by...,Environment 
Some COVID-19 mutations may dampen vaccine effectiveness,"Scientists are reporting troubling signs that some recent mutations of the virus that causes COVID-19 may modestly curb the effectiveness of two current vaccines, although...",212021.0,covid mutation may dampen vaccine effectiveness scientist reporting troubling sign recent mutation virus cause covid may modestly curb effectiveness two current vaccine although...,Environment 
Pakistan approves Oxford-AstraZeneca vaccine,ISLAMABAD: Pakistan’s planning minister says the country’s drug regulatory authority has approved the use of Oxford-AstraZeneca’s COVID-19 vaccine and the government...,172021.0,pakistan approves oxford astrazeneca vaccine islamabad pakistan planning minister say country drug regulatory authority approved use oxford astrazeneca covid vaccine government...,Environment 
"COVID-19 infection gives some immunity for at least five months, UK study finds",LONDON: People who have had COVID-19 are highly likely to have immunity to it for at least five months but there is evidence that those with antibodies may still be able to...,142021.0,covid infection give immunity least five month uk study find london people covid highly likely immunity least five month evidence antibody may still able to...,Environment 
Critical care staff suffer trauma and severe anxiety due to COVID-19 - UK study,"LONDON: Nearly half of staff working in intensive care units (ICU) in England in the COVID-19 pandemic have severe anxiety, depression or post-traumatic stress disorder,...",132021.0,critical care staff suffer trauma severe anxiety due covid uk study london nearly half staff working intensive care unit icu england covid pandemic severe anxiety depression post traumatic stress disorder ...,Environment 
COVID-19 patients still have symptoms 6 months later; interferon may be helpful treatment after all,"The following is a roundup of some of the latest scientific studies on the novel coronavirus and efforts to find treatments and vaccines for COVID-19, the illness caused by...",122021.0,covid patient still symptom month later interferon may helpful treatment following roundup latest scientific study novel coronavirus effort find treatment vaccine covid illness caused by...,Environment 
New coronavirus strain first seen in Britain confirmed in Mexico,"MEXICO CITY: The new variant of the coronavirus first detected in Britain has been confirmed in northern Mexico, health officials said on Sunday, adding a new layer of...",112021.0,new coronavirus strain first seen britain confirmed mexico mexico city new variant coronavirus first detected britain confirmed northern mexico health official said sunday adding new layer of...,Environment 
"With virus surging, Biden to speed release of COVID vaccines","WASHINGTON: With COVID-19 surging and vaccinations off to a slow start, President-elect Joe Biden will rapidly release most available vaccine doses to protect more people,...",92021.0,virus surging biden speed release covid vaccine washington covid surging vaccination slow start president elect joe biden rapidly release available vaccine dos protect people ...,Environment 
WHO tells rich countries: stop cutting the vaccines queue,GENEVA: The head of the World Health Organization said on Friday there is a “clear problem” that low- and middle-income countries are not yet receiving supplies of...,92021.0,tell rich country stop cutting vaccine queue geneva head world health organization said friday clear problem low middle income country yet receiving supply of...,Environment 
Virus can damage brain without infecting it; hair loss on rise among minorities during pandemic,"The following is a roundup of some of the latest scientific studies on the novel coronavirus and efforts to find treatments and vaccines for COVID-19, the illness caused by...",72021.0,virus damage brain without infecting hair loss rise among minority pandemic following roundup latest scientific study novel coronavirus effort find treatment vaccine covid illness caused by...,Environment 
EU commission greenlights Moderna's COVID-19 vaccine,"AMSTERDAM: The European Union’s executive commission gave the green light Wednesday to Moderna Inc.’s COVID-19 vaccine, providing the 27-nation bloc with a second...",72021.0,eu commission greenlights moderna covid vaccine amsterdam european union executive commission gave green light wednesday moderna inc. covid vaccine providing nation bloc second...,Environment 
Fauci: US could soon give 1 million vaccinations a day,"The US could soon be giving at least a million COVID-19 vaccinations a day despite the sluggish start, Dr. Anthony Fauci said Tuesday, even as he warned of a dangerous next...",62021.0,fauci u could soon give million vaccination day u could soon giving least million covid vaccination day despite sluggish start dr. anthony fauci said tuesday even warned dangerous next...,Environment 
Study says Britain must vaccinate two million a week to prevent a third COVID-19 wave,"Britain must vaccinate two million people a week to avoid a third wave of the coronavirus outbreak, a study by the London School of Hygiene and Tropical Medicine (LSHTM)...",292020.0,study say britain must vaccinate two million week prevent third covid wave britain must vaccinate two million people week avoid third wave coronavirus outbreak study london school hygiene tropical medicine lshtm ...,Environment 
Studies find having COVID-19 may protect against reinfection,Two new studies give encouraging evidence that having COVID-19 may offer some protection against future infections. Researchers found that people who made antibodies to the...,242020.0,study find covid may protect reinfection two new study give encouraging evidence covid may offer protection future infections. researcher found people made antibody the...,Environment 
Moderna expects its COVID-19 vaccine to protect against UK coronavirus variant,"Moderna Inc said on Wednesday it expects that the immunity induced by its COVID-19 vaccine would be protective against the coronavirus variants reported in the UK.
The...",242020.0,moderna expects covid vaccine protect uk coronavirus variant moderna inc said wednesday expects immunity induced covid vaccine would protective coronavirus variant reported uk. the...,Environment 
AstraZeneca says its vaccine should be effective against new coronavirus variant,"British drugmaker AstraZeneca Plc told Reuters on Tuesday its COVID-19 vaccine should be effective against the new coronavirus variant, adding that studies were under way...",232020.0,astrazeneca say vaccine effective new coronavirus variant british drugmaker astrazeneca plc told reuters tuesday covid vaccine effective new coronavirus variant adding study way...,Environment 
"First US shots in COVID-19 vaccine campaign coming Monday, Army general says","The first shots in a massive US COVID-19 vaccine campaign will be administered as early as Monday, with Pfizer Inc and partners aiming to start shipments across the...",132020.0,first u shot covid vaccine campaign coming monday army general say first shot massive u covid vaccine campaign administered early monday pfizer inc partner aiming start shipment across the...,Environment 
US FDA authorizes Pfizer COVID-19 vaccine for emergency use,"The US Food and Drug Administration said it authorized the use of Pfizer Inc’s COVID-19 vaccine on Friday, with the first inoculations expected within days, marking a...",122020.0,u fda authorizes pfizer covid vaccine emergency use u food drug administration said authorized use pfizer inc covid vaccine friday first inoculation expected within day marking a...,Environment 
Pfizer COVID-19 vaccine faces last hurdle before US decision,WASHINGTON: Pfizer's COVID-19 vaccine faces one final hurdle as it races to become the first shot greenlighted in the US: a panel of experts who will scrutinize the...,102020.0,pfizer covid vaccine face last hurdle u decision washington pfizer covid vaccine face one final hurdle race become first shot greenlighted u panel expert scrutinize the...,Environment 
"UAE says Chinese vaccine 86% effective, offers few details","DUBAI: The United Arab Emirates said Wednesday a Chinese coronavirus vaccine tested in the federation of sheikhdoms is 86% effective, in a statement that provided few...",92020.0,uae say chinese vaccine effective offer detail dubai united arab emirate said wednesday chinese coronavirus vaccine tested federation sheikhdom effective statement provided few...,Environment 
British grandma is first in world to get Pfizer vaccine outside trial,"* 90-year-old grandmother gets Pfizer vaccine

* Britain rolls out COVID vaccine, first in the West

* 'I feel so privileged' says first vaccine recipient
LONDON:...",82020.0,british grandma first world get pfizer vaccine outside trial year old grandmother get pfizer vaccine britain roll covid vaccine first west feel privileged say first vaccine recipient london ...,Environment 
UK rolling out COVID-19 vaccine to public as world watches,"LONDON: UK health authorities are rolling out the first doses of a widely tested and independently reviewed COVID-19 vaccine, starting a global immunization program that is...",82020.0,uk rolling covid vaccine public world watch london uk health authority rolling first dos widely tested independently reviewed covid vaccine starting global immunization program is...,Environment 
"Pfizer seeks emergency approval for COVID-19 vaccine in India, media say","NEW DELHI: Pfizer Inc has applied for emergency use authorisation of its coronavirus vaccine in India, media said on Sunday, the first to do so in a country with the...",62020.0,pfizer seek emergency approval covid vaccine india medium say new delhi pfizer inc applied emergency use authorisation coronavirus vaccine india medium said sunday first country the...,Environment 
"EU eyes Dec 29 approval for 1st virus vaccine, later than US","BERLIN: The European Union drug agency said Tuesday it may need four more weeks to approve its first coronavirus vaccine, even as authorities in the United States and...",22020.0,eu eye dec approval st virus vaccine later u berlin european union drug agency said tuesday may need four week approve first coronavirus vaccine even authority united state and...,Environment 
"UK stocks up on vaccines, hopes to start virus shots in days",LONDON: Britain said Sunday it has secured 2 million more doses of a promising coronavirus vaccine as it gears up to launch within days the country's most ambitious...,302020.0,uk stock vaccine hope start virus shot day london britain said sunday secured million dos promising coronavirus vaccine gear launch within day country ambitious...,Environment 
Malaria death toll to exceed COVID-19's in sub-Saharan Africa: WHO,LONDON: Deaths from malaria due to disruptions during the coronavirus pandemic to services designed to tackle the mosquito-borne disease will far exceed those killed by...,302020.0,malaria death toll exceed covid sub saharan africa london death malaria due disruption coronavirus pandemic service designed tackle mosquito borne disease far exceed killed by...,Environment 
Vaccine adherence in public depends on professional source: study,"KATHMANDU: People have a tendency not to believe in vaccines when they learn about them online or through friends, a research published in a journal - Expert Review of...",262020.0,vaccine adherence public depends professional source study kathmandu people tendency believe vaccine learn online friend research published journal expert review of...,Environment 
"Childhood vaccine linked to less severe COVID-19, cigarette smoke raises risk","The following is a roundup of some of the latest scientific studies on the novel coronavirus and efforts to find treatments and vaccines for COVID-19, the illness caused by...",212020.0,childhood vaccine linked le severe covid cigarette smoke raise risk following roundup latest scientific study novel coronavirus effort find treatment vaccine covid illness caused by...,Environment 
"Pfizer, BioNTech seek emergency use of COVID-19 shots in US","Pfizer formally asked US regulators Friday to allow emergency use of its COVID-19 vaccine, starting the clock on a process that could bring limited first shots as early as...",212020.0,pfizer biontech seek emergency use covid shot u pfizer formally asked u regulator friday allow emergency use covid vaccine starting clock process could bring limited first shot early as...,Environment 
"COVID-19 reinfection unlikely for at least 6 months, study finds","LONDON: People who've had COVID-19 are highly unlikely to contract it again for at least six months after their first infection, according to a British study of healthcare...",202020.0,covid reinfection unlikely least month study find london people covid highly unlikely contract least six month first infection according british study healthcare...,Environment 
Pfizer-BioNTech vaccine deliveries could start 'before Christmas',Pfizer Inc and BioNTech could secure emergency U.S. and European authorization for their COVID-19 vaccine next month after final trial results showed it had a 95% success...,192020.0,pfizer biontech vaccine delivery could start christmas pfizer inc biontech could secure emergency u.s. european authorization covid vaccine next month final trial result showed success...,Environment 
2nd virus vaccine shows striking success in US tests,"A second experimental COVID-19 vaccine — this one from Moderna Inc. — yielded extraordinarily strong early results Monday, another badly needed dose of hope as the...",172020.0,nd virus vaccine show striking success u test second experimental covid vaccine one moderna inc. yielded extraordinarily strong early result monday another badly needed dose hope the...,Environment 
Russia focuses on freeze-dried vaccine doses as transport fix,"MOSCOW: Russia expects to produce primarily freeze-dried Sputnik V coronavirus vaccine doses by the spring, a top official said, eliminating the need for transport at...",162020.0,russia focus freeze dried vaccine dos transport fix moscow russia expects produce primarily freeze dried sputnik v coronavirus vaccine dos spring top official said eliminating need transport at...,Environment 
One in five COVID-19 patients develop mental illness within 90 days - study,"LONDON: Many COVID-19 survivors are likely to be at greater risk of developing mental illness, psychiatrists said on Monday, after a large study found 20% of those infected...",102020.0,one five covid patient develop mental illness within day study london many covid survivor likely greater risk developing mental illness psychiatrist said monday large study found infected...,Environment 
Pfizer vaccine trial success signals breakthrough in pandemic battle,"Pfizer Inc's PFE.N experimental COVID-19 vaccine is more than 90% effective based on initial trial results, the drugmaker said on Monday, a major victory in the war...",102020.0,pfizer vaccine trial success signal breakthrough pandemic battle pfizer inc pfe.n experimental covid vaccine effective based initial trial result drugmaker said monday major victory war...,Environment 
UN says needs $655 million to avert new measles and polio epidemics,LONDON: Severe disruptions caused by the COVID-19 pandemic to immunisation campaigns against measles and polio are putting millions of vulnerable children at risk...,72020.0,un say need million avert new measles polio epidemic london severe disruption caused covid pandemic immunisation campaign measles polio putting million vulnerable child risk...,Environment 
Common cold antibodies hold clues to COVID-19 behaviour; lung scans speed COVID-19 diagnosis in stroke patients,"The following is a roundup of some of the latest scientific studies on the novel coronavirus and efforts to find treatments and vaccines for COVID-19, the illness caused by...",72020.0,common cold antibody hold clue covid behaviour lung scan speed covid diagnosis stroke patient following roundup latest scientific study novel coronavirus effort find treatment vaccine covid illness caused by...,Environment 
AstraZeneca's drugs pipeline progresses as COVID vaccine data awaited,"AstraZeneca, the British drugmaker working on one of the world’s leading COVID-19 vaccine hopefuls, reported progress in its pipeline of other medicines on Thursday as it...",52020.0,astrazeneca drug pipeline progress covid vaccine data awaited astrazeneca british drugmaker working one world leading covid vaccine hopeful reported progress pipeline medicine thursday it...,Environment 
South African firm and Johnson & Johnson strike vaccine deal,"JOHANNESBURG: South African pharmaceutical firm Aspen Pharmacare has announced a deal with U.S. firm Johnson & Johnson to manufacture its COVID-19 vaccine candidate, if...",32020.0,south african firm johnson johnson strike vaccine deal johannesburg south african pharmaceutical firm aspen pharmacare announced deal u.s. firm johnson johnson manufacture covid vaccine candidate if...,Environment 
UK to infect healthy volunteers in vaccine research trial,"LONDON: Danica Marcos wants to be infected with COVID-19.

While other people are wearing masks and staying home to avoid the disease, the 22-year-old Londoner has...",212020.0,uk infect healthy volunteer vaccine research trial london danica marcos want infected covid . people wearing mask staying home avoid disease year old londoner has...,Environment 
New study shows mouthwash may inactivate Covid-19,"KATHMANDU: Gargling with mouthwashes can lower the risk of Covid-19 transmission by reducing the viral particles in the mouth and throat, according to a study published in...",202020.0,new study show mouthwash may inactivate covid kathmandu gargling mouthwash lower risk covid transmission reducing viral particle mouth throat according study published in...,Environment 
2nd COVID-19 vaccine trial paused over unexplained illness,NEW BRUNSWICK: A late-stage study of Johnson & Johnson’s COVID-19 vaccine candidate has been paused while the company investigates whether a study participant’s...,132020.0,nd covid vaccine trial paused unexplained illness new brunswick late stage study johnson johnson covid vaccine candidate paused company investigates whether study participant s...,Environment 
WHO: 10% of world's people may have been infected with virus,GENEVA: The head of emergencies at the World Health Organization said Monday the agency's “best estimates” indicate roughly 1 in 10 people worldwide may have been...,62020.0,world people may infected virus geneva head emergency world health organization said monday agency best estimate indicate roughly people worldwide may been...,Environment 
EU regulator launches real-time review of AstraZeneca's COVID-19 vaccine,"BRUSSELS: The European health regulator said on Thursday it had started a rolling review of the experimental COVID-19 vaccine from AstraZeneca and Oxford University, in a...",12020.0,eu regulator launch real time review astrazeneca covid vaccine brussels european health regulator said thursday started rolling review experimental covid vaccine astrazeneca oxford university a...,Environment 
