headline,body,time_published,Text,category
MoHP urges people to wear mask in public places,The Ministry of Health and Population has appealed to all to wear a face mask while in public places.,252022.0,mohp urge people wear mask public place ministry health population appealed wear face mask public places.,Health
No new variant of virus recorded: Health ministry,The government has made it clear that no new variant of coronavirus that has been spreading in the neighbouring countries was found in Nepal.,232022.0,new variant virus recorded health ministry government made clear new variant coronavirus spreading neighbouring country found nepal.,Health
Mechanisms needed to ensure reproductive health rights,"Reproductive health rights activists have said the government needs to have more legal, institutional, financial, and procedural arrangements in place to ensure women and sexual and gender minorities’ reproductive health rights.",92022.0,mechanism needed ensure reproductive health right reproductive health right activist said government need legal institutional financial procedural arrangement place ensure woman sexual gender minority reproductive health rights.,Health
"Dengue cases cross 2,000 in Chitwan","The number of dengue infection cases has crossed 2,000 in Chitwan, the District Health Office Chitwan said.",282022.0,dengue case cross chitwan number dengue infection case crossed chitwan district health office chitwan said.,Health
"Bagmati province reports over 27,000 dengue cases","Twenty-seven thousand 750 people have been infected with dengue in Bagmati province since July 17 till date, the Bagmati Province Health Directorate said.",122022.0,bagmati province report dengue case twenty seven thousand people infected dengue bagmati province since july till date bagmati province health directorate said.,Health
Chitwan reports 230 cases of scrub typhus,"Various hospitals in Chitwan district report 230 cases of scrub typhus. Health Office, Chitwan said of the infected, 108 are from the district while the remaining are from outside Chitwan.",102022.0,chitwan report case scrub typhus various hospital chitwan district report case scrub typhus. health office chitwan said infected district remaining outside chitwan.,Health
39 new COVID cases detected in a day,"Health authorities diagnosed a total of 39 COVID patients in the last 24 hours, including 19 cases in Kathmandu valley.",222022.0,new covid case detected day health authority diagnosed total covid patient last hour including case kathmandu valley.,Health
Dengue: A public health concern,"Dengue, the most common arbovirus infection worldwide, has become serious public health concern. As of today the geographic distribution of dengue has crossed more than 100 countries.",102022.0,dengue public health concern dengue common arbovirus infection worldwide become serious public health concern. today geographic distribution dengue crossed countries.,Health
"Polio detected in NYC's sewage, suggesting virus circulating","The virus that causes polio has been found in New York City's wastewater in another sign that the disease, which hadn't been seen in the U.S. in a decade, is quietly spreading among unvaccinated people, health officials said Friday.",132022.0,polio detected nyc sewage suggesting virus circulating virus cause polio found new york city wastewater another sign disease seen u.s. decade quietly spreading among unvaccinated people health official said friday.,Health
New coronavirus mutant raises concerns in India and beyond,"The quickly changing coronavirus has spawned yet another super contagious omicron mutant that's worrying scientists as it gains ground in India and pops up in numerous other countries, including the United States.",112022.0,new coronavirus mutant raise concern india beyond quickly changing coronavirus spawned yet another super contagious omicron mutant worrying scientist gain ground india pop numerous country including united states.,Health
