headline,body,time_published,Text,category
Home Minister Lamichhane vows to work for uplift of Tharu community,Deputy Prime Minister and Minister of Home Affairs Rabi Lamichhane has pledged to work for the uplift of the Tharu community.,132023.0,home minister lamichhane vow work uplift tharu community deputy prime minister minister home affair rabi lamichhane pledged work uplift tharu community.,Lifestyle
Jhapa Toastmasters Club conducts joint meeting with the Rotary Club of Birtamode,Jhapa Toastmasters Club conducts joint meeting with the Rotary Club of Birtamode,92022.0,jhapa toastmaster club conduct joint meeting rotary club birtamode jhapa toastmaster club conduct joint meeting rotary club birtamode,Lifestyle
A day of glamour and elegance,A day of glamour and elegance,242022.0,day glamour elegance day glamour elegance,Lifestyle
TGIF Nepal Fashion Week '22 begins today,"After a hiatus of about four years, the TGIF Nepal Fashion Week is making its comeback in 2022.",222022.0,tgif nepal fashion week begin today hiatus four year tgif nepal fashion week making comeback .,Lifestyle
Welcome to fashion's ultimate destination,Welcome to fashion’s ultimate destination,132022.0,welcome fashion ultimate destination welcome fashion ultimate destination,Lifestyle
"Sustainable, elegant, and stylish","Sustainable, elegant, and stylish",142022.0,sustainable elegant stylish sustainable elegant stylish,Lifestyle
Sparkling and sustainable,Sparkling and sustainable,162022.0,sparkling sustainable sparkling sustainable,Lifestyle
"Vibrant hues, glitter, and glam","Vibrant hues, glitter, and glam",172022.0,vibrant hue glitter glam vibrant hue glitter glam,Lifestyle
Knit from the stars and nature,Knit from the stars and nature,182022.0,knit star nature knit star nature,Lifestyle
A ramp for all hues and seasons,Nude presents The Himalayan Times TGIF Nepal Fashion Week 2022 in association with Carlsberg and Agni Group and coloured by Asian Paints is scheduled for September 22-24 at the Hyatt Regency Kathmandu.,182022.0,ramp hue season nude present himalayan time tgif nepal fashion week association carlsberg agni group coloured asian paint scheduled september hyatt regency kathmandu.,Lifestyle
Extravaganza of diverse designs,Nude presents The Himalayan Times TGIF Nepal Fashion Week 2022 in association with Carlsberg and XUV700 and coloured by Asian Paints is scheduled for September 22-24 at Hyatt Regency Kathmandu,202022.0,extravaganza diverse design nude present himalayan time tgif nepal fashion week association carlsberg xuv coloured asian paint scheduled september hyatt regency kathmandu,Lifestyle
Bridal beauty,"KATHMANDUFor all the brides out there, the collections being showcased at the TGIF Nepal Fashion Week 2022 could be just the perfect answer. Among many different designs,...",212022.0,bridal beauty kathmandufor bride collection showcased tgif nepal fashion week could perfect answer. among many different design ...,Lifestyle
Striving for quality education,"One of the first educational institutions in Nepal to affiliate with a foreign university, Islington College aims to provide quality education in the country. It offers undergraduate and postgraduate degrees in Information Technology (IT) and Business and has adopted a unique student-centric learning style.",102022.0,striving quality education one first educational institution nepal affiliate foreign university islington college aim provide quality education country. offer undergraduate postgraduate degree information technology business adopted unique student centric learning style.,Lifestyle
Glimpses of Bangladesh,"​​​​​​​Diverse cultures, traditions, and heritages of Bangladesh are on display at ‘Spirit of Friendship’, a group art exhibition featuring 12 artists from Bangladesh.",42022.0,glimpse bangladesh diverse culture tradition heritage bangladesh display spirit friendship group art exhibition featuring artist bangladesh.,Lifestyle
Raising mental health awareness through art,"Prithivi, the World in Me, a solo painting exhibition by artist Shivangini Rana, aims to raise awareness about the importance of mental health in Nepal.",42022.0,raising mental health awareness art prithivi world solo painting exhibition artist shivangini rana aim raise awareness importance mental health nepal.,Lifestyle
Travel lessons of changes and learning,Travel lessons of changes and learning,232022.0,travel lesson change learning travel lesson change learning,Lifestyle
"Nepali art in Venice: Moving away from the sacred, exotic and remote",Nepal has debuted at the Venice Biennale showcasing a different facet of Nepal — something different from the way it is perceived by the West.,72022.0,nepali art venice moving away sacred exotic remote nepal debuted venice biennale showcasing different facet nepal something different way perceived west.,Lifestyle
Paintings of Nepali artist displayed in Jakarta,"Paintings depicting happiness, joy and bright aspects of children’s lives by Nepali artist Sabin Sainju aka Soham were showcased at an art exhibition held at Cemara 6 Galeri Museum, Jakarta, Indonesia from July 27 to August 3.",42022.0,painting nepali artist displayed jakarta painting depicting happiness joy bright aspect child life nepali artist sabin sainju aka soham showcased art exhibition held cemara galeri museum jakarta indonesia july august .,Lifestyle
"A display of belief, dedication, devotion","​​​​​​​Samarpan, a solo painting exhibition by contemporary artist Kiran Manandhar, is a display of different forms of Hindu deities, which ultimately is a reflection of his beliefs, devotion to spiritual power, and a dedication to his “inspirations, art lovers, artists, family, well-wishers, and gurus”.",292022.0,display belief dedication devotion samarpan solo painting exhibition contemporary artist kiran manandhar display different form hindu deity ultimately reflection belief devotion spiritual power dedication inspiration art lover artist family well wishers guru .,Lifestyle
Giri's anthology of poems launched,Poet and editor Itisha Giri has come out with her poetry collection — An Archive. The book was launched amidst an event held in the Capital in the late evening of April 30.,32022.0,giri anthology poem launched poet editor itisha giri come poetry collection archive. book launched amidst event held capital late evening april .,Lifestyle
