headline,body,time_published,Text,category
1st private space crew paying $55M each to fly to station,"CAPE CANAVERAL: The first private space station crew was introduced Tuesday: Three men who are each paying $55 million to fly on a SpaceX rocket.

They'll be led by a...",272021.0,st private space crew paying fly station cape canaveral first private space station crew introduced tuesday three men paying million fly spacex rocket. led a...,Mobile & Apps
"Moderna says COVID-19 vaccine apparently effective against UK, South Africa variants",KATHMANDU: US-based pharmaceutical and biotechnology company Moderna said on Monday that its vaccine is apparently effective in neutralising the UK and South Africa...,252021.0,moderna say covid vaccine apparently effective uk south africa variant kathmandu u based pharmaceutical biotechnology company moderna said monday vaccine apparently effective neutralising uk south africa...,Mobile & Apps
Personal details of 2.28 million users of dating site MeetMindful compromised,KATHMANDU: Privacy of as many as 2.28 million users of the online dating site MeetMindful has been compromised following publication of personal user data online on January...,252021.0,personal detail . million user dating site meetmindful compromised kathmandu privacy many . million user online dating site meetmindful compromised following publication personal user data online january...,Mobile & Apps
Need a lift? SpaceX launches record spacecraft in cosmic rideshare program,"A veteran rocket from billionaire entrepreneur Elon Musk’s SpaceX aerospace company launched 143 spacecraft into space on Sunday, a new record for the most spaceships...",252021.0,need lift spacex launch record spacecraft cosmic rideshare program veteran rocket billionaire entrepreneur elon musk spacex aerospace company launched spacecraft space sunday new record spaceships...,Mobile & Apps
"China's Chang'e 5 probe up for a new mission, to the sun","KATHMANDU: China stunned everyone last month when its lunar probe, Chang'e 5, succeeded to bring rocks and dust from the moon -- world's first lunar sample-return mission...",232021.0,china chang e probe new mission sun kathmandu china stunned everyone last month lunar probe chang e succeeded bring rock dust moon world first lunar sample return mission...,Mobile & Apps
Privacy fears as Indian city readies facial recognition to spot harassed women,"A plan to monitor women's expressions with facial recognition technology to prevent street harassment in a north Indian city, will lead to intrusive policing and privacy...",232021.0,privacy fear indian city ready facial recognition spot harassed woman plan monitor woman expression facial recognition technology prevent street harassment north indian city lead intrusive policing privacy...,Mobile & Apps
UK chief scientist says new virus variant may be more deadly,"LONDON: There is some evidence that a new coronavirus variant first identified in southeast England carries a higher risk of death than the original strain, the British...",232021.0,uk chief scientist say new virus variant may deadly london evidence new coronavirus variant first identified southeast england carry higher risk death original strain british...,Mobile & Apps
New Patagonian dinosaur may be largest yet: Scientists,"BUENOS AIRES, JANUARY 22

Scientists have unearthed massive, 98-million-year-old fossils in southwest Argentina they say may have belonged to the largest dinosaur ever...",232021.0,new patagonian dinosaur may largest yet scientist buenos aire january scientist unearthed massive million year old fossil southwest argentina say may belonged largest dinosaur ever...,Mobile & Apps
Fauci credits Biden for letting 'the science speak' as new administration puts focus on virus,"WASHINGTON: President Joe Biden unveiled sweeping measures to battle COVID-19 on his first full day in office on Thursday, with his chief medical adviser, Anthony Fauci,...",222021.0,fauci credit biden letting science speak new administration put focus virus washington president joe biden unveiled sweeping measure battle covid first full day office thursday chief medical adviser anthony fauci ...,Mobile & Apps
German researchers make paralysed mice walk again,"BERLIN: German researchers have enabled mice paralysed after spinal cord injuries to walk again, re-establishing a neural link hitherto considered irreparable in mammals by...",222021.0,german researcher make paralysed mouse walk berlin german researcher enabled mouse paralysed spinal cord injury walk establishing neural link hitherto considered irreparable mammal by...,Mobile & Apps
Chinese scientists develop gene therapy which could delay ageing,"BEIJING: Scientists in Beijing have developed a new gene therapy which can reverse some of the effects of ageing in mice and extend their lifespans, findings which may one...",202021.0,chinese scientist develop gene therapy could delay ageing beijing scientist beijing developed new gene therapy reverse effect ageing mouse extend lifespan finding may one...,Mobile & Apps
India asks Facebook's WhatsApp to withdraw privacy policy update,"NEW DELHI: India’s technology ministry has asked WhatsApp to withdraw changes to its privacy policy the messaging platform announced earlier this month, saying the new...",202021.0,india asks facebook whatsapp withdraw privacy policy update new delhi india technology ministry asked whatsapp withdraw change privacy policy messaging platform announced earlier month saying new...,Mobile & Apps
"Facebook to ban ads promoting weapon accessories, protective gear in US",Facebook Inc said on Saturday it will ban advertisements for weapon accessories and protective equipment in the United States with immediate effect until at least two days...,172021.0,facebook ban ad promoting weapon accessory protective gear u facebook inc said saturday ban advertisement weapon accessory protective equipment united state immediate effect least two days...,Mobile & Apps
NASA's Boeing moon rocket cuts short 'once-in-a-generation' ground test,"WASHINGTON: NASA’s deep space exploration rocket built by Boeing briefly ignited all four engines of its behemoth core stage for the first time on Saturday, cutting short...",172021.0,nasa boeing moon rocket cut short generation ground test washington nasa deep space exploration rocket built boeing briefly ignited four engine behemoth core stage first time saturday cutting short...,Mobile & Apps
RIP: Mars digger bites the dust after 2 years on red planet,"CAPE CANAVERAL: NASA declared the Mars digger dead Thursday after failing to burrow deep into the red planet to take its temperature.

Scientists in Germany spent two...",152021.0,rip mar digger bite dust year red planet cape canaveral nasa declared mar digger dead thursday failing burrow deep red planet take temperature. scientist germany spent two...,Mobile & Apps
