headline,body,time_published,Text,category
Nepal records three COVID-19 cases on Wednesday,"With this, a total of 6,003,944 PCR tests have been carried out till date.",4.0,nepal record three covid case wednesday total pcr test carried till date.,Nepal
UN Resident Coordinator Lisa Singh presents credential to Seychelles President Ramkalawan,"United Nations Resident Coordinator Lisa Simrique Singh presented her credential to President Ramkalawan of the Republic of Seychelles, on Wednesday.",10.0,un resident coordinator lisa singh present credential seychelles president ramkalawan united nation resident coordinator lisa simrique singh presented credential president ramkalawan republic seychelles wednesday.,Nepal
Six CAN board members boycott meeting,Six executive committee members of the Cricket Association of Nepal on Tuesday demanded the resignation of leadership and then boycotted the board meeting in Pokhara.,13.0,six board member boycott meeting six executive committee member cricket association nepal tuesday demanded resignation leadership boycotted board meeting pokhara.,Nepal
Seven3Sports unilaterally terminates NepalT20 contract,The Seven3Sports has unilaterally terminated the NepalT20 Cricket League contract with Cricket Association of Nepal.,13.0,sevensports unilaterally terminates nepalt contract sevensports unilaterally terminated nepalt cricket league contract cricket association nepal.,Nepal
Decision to free Sandeep on bail challenged in SC,The Attorney General’s Office has filed a petition in the Supreme Court demanding the annulment of the Patan High Court’s order to release former Nepal cricket team skipper Sandeep Lamichhane on bail.,14.0,decision free sandeep bail challenged sc attorney general office filed petition supreme court demanding annulment patan high court order release former nepal cricket team skipper sandeep lamichhane bail.,Nepal
'Lamichhane cannot get ministry back',Senior Advocate Mithilesh Kumar Singh said that as per Article 78 (4) Rabi Lamichhane cannot become a minister as the SC invalidated his election to the House of Representatives and the same ought to be interpreted as his defeat.,14.0,lamichhane cannot get ministry back senior advocate mithilesh kumar singh said per article rabi lamichhane cannot become minister sc invalidated election house representative ought interpreted defeat.,Nepal
PM to keep home portfolio,Prime Minister Pushpa Kamal Dahal will keep the home portfolio with himself until the Supreme Court releases the full text of the verdict delivered in the citizenship case filed against Rastriya Swatantra Party Chair Rabi Lamichhane.,16.0,pm keep home portfolio prime minister pushpa kamal dahal keep home portfolio supreme court release full text verdict delivered citizenship case filed rastriya swatantra party chair rabi lamichhane.,Nepal
Pokhara air crash: DNA tests of six begin,It takes at least two weeks to identify the mortal remains through DNA procedures.,1.0,pokhara air crash dna test six begin take least two week identify mortal remains dna procedures.,Nepal
"Corruption perception down in Nepal, says TI report",Nepal has made improvement by seven positions in the Corruption Perceptions Index (CPI).,1.0,corruption perception nepal say ti report nepal made improvement seven position corruption perception index cpi .,Nepal
Bajura quake victims left in the lurch,"The January 24 earthquake has left residents of Gaumul Rural Municipality in the lurch, many of whom have been displaced. According to rural municipality Chairperson Hari Bahadur Rokaya, all settlements are at risk and most houses have been rendered uninhabitable.",1.0,bajura quake victim left lurch january earthquake left resident gaumul rural municipality lurch many displaced. according rural municipality chairperson hari bahadur rokaya settlement risk house rendered uninhabitable.,Nepal
Everyone should join hands to fulfil martyrs' dreams: PM,Prime Minister Pushpa Kamal Dahal has emphasised that everyone should join hands and move forward to fulfil the dreams of martyrs.,1.0,everyone join hand fulfil martyr dream pm prime minister pushpa kamal dahal emphasised everyone join hand move forward fulfil dream martyrs.,Nepal
