headline,body,time_published,Text,category
Safety of minors while driving: Include special child seats in cars,Families who can afford to buy a new car should be prompted and ultimately obliged to ensure that their children are using proper seat restrainers or booster seats,192023.0,safety minor driving include special child seat car family afford buy new car prompted ultimately obliged ensure child using proper seat restrainer booster seat,Opinion
Evidence-based policy-making in Nepal: A driver of better implementation,"Rather than the pre-defined architect of policy or only the expert’s/experienced person’s opinion and beliefs and/or personal bias, evidence–based policies seem self-evident, and hence, these designs differ when the evidence-based policy is underpinned.",14.0,evidence based policy making nepal driver better implementation rather pre defined architect policy expert experienced person opinion belief personal bias evidence based policy seem self evident hence design differ evidence based policy underpinned.,Opinion
EDITORIAL: Prez poll date,The Election Commission (EC) has fixed March 9 and March 17 as the dates for holding the elections of the president and vice-president respectively after consulting Prime Minister Pushpa Kamal Dahal.,13.0,editorial prez poll date election commission ec fixed march march date holding election president vice president respectively consulting prime minister pushpa kamal dahal.,Opinion
Self-immolation in broad daylight: Aimed at the government's failure,The self-immolation by Prem Prasad Acharya Santosh in front of the Parliament building in broad daylight has sent a chill up the spine of the country in the midst of a rather cold winter weather.,1.0,self immolation broad daylight aimed government failure self immolation prem prasad acharya santosh front parliament building broad daylight sent chill spine country midst rather cold winter weather.,Opinion
EDITORIAL: Don't undermine RTI,"The government’s decision to classify 87 kinds of information as confidential, and thus requiring them to be kept secret, has met with resistance from media organisations and forums working for the right to information, or RTI.",1.0,editorial undermine rti government decision classify kind information confidential thus requiring kept secret met resistance medium organisation forum working right information rti.,Opinion
Conflict of interest: Taken for granted in Nepal,"KATHMANDU, JANUARY 29One of the national pride projects, the Sikta irrigation project, was initiated in fiscal year 2005-2006 and was supposed to be completed by...",2.0,conflict interest taken granted nepal kathmandu january one national pride project sikta irrigation project initiated fiscal year supposed completed by...,Opinion
"Nepal's commercial banks: Unfair competition, syndicate and conflict of interest","Banks and financial institutions (BFIs) are the intermediaries of the financial system to bridge savers and investors and efficiently allocate the risks and returns between them. The lending source is primarily public deposit, which they should return upon demand.",272023.0,nepal commercial bank unfair competition syndicate conflict interest bank financial institution bfis intermediary financial system bridge saver investor efficiently allocate risk return them. lending source primarily public deposit return upon demand.,Opinion
EDITORIAL: Take stern action,The probe panel formed by the National Sports Council (NSC) to look into the irregularities in the NepalT20 Cricket League has recommended stern action against the executive committee of the Cricket Association of Nepal (CAN).,272023.0,editorial take stern action probe panel formed national sport council nsc look irregularity nepalt cricket league recommended stern action executive committee cricket association nepal .,Opinion
Nepal-India relations: Time to redefine it,"In ancient times, today’s modern India or Nepal did not exist. In the ancient texts of Hindu religion, the Purana, Ramayana and Mahabharata, there are countless cases of plotsand characters within the borders of what is today Nepal and India.",262023.0,nepal india relation time redefine ancient time today modern india nepal exist. ancient text hindu religion purana ramayana mahabharata countless case plotsand character within border today nepal india.,Opinion
Telecom service disrupted in quake epicentre Bichhyan,"An earthquake with its epicentre somewhere near Bichhyan of Himali Rural Municipality, Bajura, hit the area yesterday afternoon.",262023.0,telecom service disrupted quake epicentre bichhyan earthquake epicentre somewhere near bichhyan himali rural municipality bajura hit area yesterday afternoon.,Opinion
Patriarchy: How it threatens the very existence of life on earth,"Men’s greater physical strength might have played some role in male dominance in technologically-primitive hunter-gatherer societies, but patriarchy as a natural or god-given phenomenon can’t be true. Shulamith Firestone, a Canadian-American radical feminist writer and activist, therefore, defines patriarchy as a system of oppression of women.",252023.0,patriarchy threatens existence life earth men greater physical strength might played role male dominance technologically primitive hunter gatherer society patriarchy natural god given phenomenon true. shulamith firestone canadian american radical feminist writer activist therefore defines patriarchy system oppression women.,Opinion
