headline,body,time_published,Text,category
"Old NASA satellite falling from sky this weekend, low threat",A 38-year-old retired NASA satellite is about to fall from the sky.,72023.0,old nasa satellite falling sky weekend low threat year old retired nasa satellite fall sky.,Science and Tech
"NASA Orion capsule safely blazes back from moon, aces test","NASA’s Orion capsule made a blisteringly fast return from the moon Sunday, parachuting into the Pacific off Mexico to conclude a test flight that should clear the way for astronauts on the next lunar flyby.",122022.0,nasa orion capsule safely blaze back moon ace test nasa orion capsule made blisteringly fast return moon sunday parachuting pacific mexico conclude test flight clear way astronaut next lunar flyby.,Science and Tech
NASA's mightiest rocket lifts off 50 years after Apollo,"NASA's new moon rocket blasted off on its debut flight with three test dummies aboard early Wednesday, bringing the U.S. a big step closer to putting astronauts back on the lunar surface for the first time since the end of the Apollo program 50 years ago.",162022.0,nasa mightiest rocket lift year apollo nasa new moon rocket blasted debut flight three test dummy aboard early wednesday bringing u.s. big step closer putting astronaut back lunar surface first time since end apollo program year ago.,Science and Tech
Apple says iPhone supplies hurt by anti-virus curbs in China,Apple Inc. is warning customers they'll have to wait longer to get its latest iPhone models after anti-virus restrictions were imposed on a contractor's factory in central China.,72022.0,apple say iphone supply hurt anti virus curb china apple inc. warning customer wait longer get latest iphone model anti virus restriction imposed contractor factory central china.,Science and Tech
3-Sleuths of 'spooky' quantum science win Nobel physics prize,"Scientists Alain Aspect, John Clauser and Anton Zeilinger won the 2022 Nobel Prize in Physics for their advances in quantum mechanics on the behaviour of subatomic particles, opening the door to work on super computers and encrypted communication.",42022.0,sleuth spooky quantum science win nobel physic prize scientist alain aspect john clauser anton zeilinger nobel prize physic advance quantum mechanic behaviour subatomic particle opening door work super computer encrypted communication.,Science and Tech
Apple maintains prices on new iPhones despite inflation,"Apple's latest line-up of iPhones will boast better cameras, faster processors, and a longer lasting battery — all at the same prices as last year's models, despite inflationary pressure that has driven up the cost of many other everyday items.",82022.0,apple maintains price new iphones despite inflation apple latest line iphones boast better camera faster processor longer lasting battery price last year model despite inflationary pressure driven cost many everyday items.,Science and Tech
"New space telescope shows Jupiter's auroras, tiny moons","The world's newest and biggest space telescope is showing Jupiter as never before, auroras and all.",242022.0,new space telescope show jupiter aurora tiny moon world newest biggest space telescope showing jupiter never aurora all.,Science and Tech
Gluttonous cosmic 'black widow' is heaviest-known neutron star,"Astronomers have observed the most massive known example of an object called a neutron star, one classified as a ""black widow"" that got particularly hefty by gobbling up most of the mass of a stellar companion trapped in an unhappy cosmic marriage.",312022.0,gluttonous cosmic black widow heaviest known neutron star astronomer observed massive known example object called neutron star one classified black widow got particularly hefty gobbling mass stellar companion trapped unhappy cosmic marriage.,Science and Tech
Russia signals space station pullout; NASA says it's not official yet,"Russia's new space chief announced on Tuesday his country plans to withdraw from the International Space Station after 2024, but senior NASA officials said Moscow has not formally conveyed an intent to end its two-decade-old orbital partnership with the United States.",272022.0,russia signal space station pullout nasa say official yet russia new space chief announced tuesday country plan withdraw international space station senior nasa official said moscow formally conveyed intent end two decade old orbital partnership united states.,Science and Tech
"China launches second space station module, Wentian","China on Sunday launched the second of three modules to its permanent space station, in one of the final missions needed to complete the orbiting outpost by year's end.",242022.0,china launch second space station module wentian china sunday launched second three module permanent space station one final mission needed complete orbiting outpost year end.,Science and Tech
Scientists find an exotic black hole deemed a 'needle in a haystack',"Astronomers have spotted in a galaxy adjacent to our Milky Way what they are calling a cosmic ""needle in a haystack"" - a black hole that not only is classified as dormant but appears to have been born without the explosion of a dying star.",212022.0,scientist find exotic black hole deemed needle haystack astronomer spotted galaxy adjacent milky way calling cosmic needle haystack black hole classified dormant appears born without explosion dying star.,Science and Tech
"Webb begins hunt for first stars, habitable worlds","The first stunning images from the James Webb Space Telescope were revealed this week, but its journey of cosmic discovery has only just begun.",162022.0,webb begin hunt first star habitable world first stunning image james webb space telescope revealed week journey cosmic discovery begun.,Science and Tech
Webb space telescope opens door to discoveries still unimagined,"The powerful James Webb Space Telescope's inaugural batch of images has opened a new chapter of cosmic exploration, but astronomers say the observatory's most consequential discoveries may well be those they have yet to even imagine.",142022.0,webb space telescope open door discovery still unimagined powerful james webb space telescope inaugural batch image opened new chapter cosmic exploration astronomer say observatory consequential discovery may well yet even imagine.,Science and Tech
"Baby stars, dancing galaxies: NASA shows new cosmic views",A sparkling landscape of baby stars. A foamy blue and orange view of a dying star. Five galaxies in a cosmic dance. The splendors of the universe glowed in a new batch of images released Tuesday from NASA's powerful new telescope.,132022.0,baby star dancing galaxy nasa show new cosmic view sparkling landscape baby stars. foamy blue orange view dying star. five galaxy cosmic dance. splendor universe glowed new batch image released tuesday nasa powerful new telescope.,Science and Tech
Far out: NASA space telescope's 1st cosmic view goes deep,Our view of the universe just expanded: The first image from NASA's new space telescope unveiled Monday is brimming with galaxies and offers the deepest look of the cosmos ever captured.,132022.0,far nasa space telescope st cosmic view go deep view universe expanded first image nasa new space telescope unveiled monday brimming galaxy offer deepest look cosmos ever captured.,Science and Tech
