headline,body,time_published,Text,category
Jane Fonda to receive Golden Globes' Cecil B. DeMille Award,"LOS ANGELES: Jane Fonda cemented herself into Hollywood allure as a chameleonlike actor and social activist, and now the Golden Globes will honor her illustrious career...",272021.0,jane fonda receive golden globe cecil b. demille award los angeles jane fonda cemented hollywood allure chameleonlike actor social activist golden globe honor illustrious career...,Travel Abroad
Britain's Got Talent' almost certain to be put off until 2022,"KATHMANDU: It is likely that the popular reality TV show Britain's Got Talent', responsible for bringing fame to many, will be postponed until 2022 amid the incumbent...",262021.0,britain got talent almost certain put kathmandu likely popular reality tv show britain got talent responsible bringing fame many postponed amid incumbent...,Travel Abroad
Indian National Congress leader Rahul Gandhi congratulates Nepali K2-summitters,"KATHMANDU: Indian National Congress leader Rahul Gandhi has congratulated the Nepali team of mountaineers on their record K2-winter summit, on Monday.

Rahul Gandhi, who...",252021.0,indian national congress leader rahul gandhi congratulates nepali k summitters kathmandu indian national congress leader rahul gandhi congratulated nepali team mountaineer record k winter summit monday. rahul gandhi who...,Travel Abroad
Indian actor Varun Dhawan weds life long friend Natasha Dalal,"KATHMANDU: Bollywood actor Varun Dhawan is married to his life long friend Natasha Dalal, he shared in a recent post in Instagram.

He shared, ""life long love just became...",252021.0,indian actor varun dhawan wed life long friend natasha dalal kathmandu bollywood actor varun dhawan married life long friend natasha dalal shared recent post instagram. shared life long love became...,Travel Abroad
James Bond movie 'No Time to Die' delayed again amid pandemic,"LOS ANGELES: The global release of the James Bond movie ""No Time to Die"" was postponed to October from April, its producers said on Thursday, another setback for movie...",222021.0,james bond movie time die delayed amid pandemic los angeles global release james bond movie time die postponed october april producer said thursday another setback movie...,Travel Abroad
"Inaugural poet Amanda Gorman: 'Even as we grieved, we grew.'","NEW YORK: The country has a new president and a new literary star. In one of the inauguration's most talked about moments, poet Amanda Gorman summoned images dire and...",212021.0,inaugural poet amanda gorman even grieved grew. new york country new president new literary star. one inauguration talked moment poet amanda gorman summoned image dire and...,Travel Abroad
Hollywood on the Potomac: A-list turns out for Biden-Harris,"A full-throated, supremely confident Lady Gaga belted out the national anthem at President Joe Biden's inauguration in a very Gaga way — with flamboyance, fashion and...",212021.0,hollywood potomac list turn biden harris full throated supremely confident lady gaga belted national anthem president joe biden inauguration gaga way flamboyance fashion and...,Travel Abroad
"Netflix forecasts an end to borrowing binge, shares surge",Netflix Inc said on Tuesday its global subscriber rolls crossed 200 million at the end of 2020 and projected it will no longer need to borrow billions of dollars to finance...,202021.0,netflix forecast end borrowing binge share surge netflix inc said tuesday global subscriber roll crossed million end projected longer need borrow billion dollar finance...,Travel Abroad
"Phil Spector, famed music producer and murderer, dies at 81","LOS ANGELES: Phil Spector, the eccentric and revolutionary music producer who transformed rock music with his “Wall of Sound” method and who later was convicted of...",182021.0,phil spector famed music producer murderer dy los angeles phil spector eccentric revolutionary music producer transformed rock music wall sound method later convicted of...,Travel Abroad
Betty White marks 99th birthday Sunday; up late as she wants,"LOS ANGELES:  True to form, Betty White has something impish to say about her birthday Sunday.

“Since I am turning 99, I can stay up as late as I want without asking...",172021.0,betty white mark th birthday sunday late want los angeles true form betty white something impish say birthday sunday. since turning stay late want without asking...,Travel Abroad
Anne Hathaway races to release 'Locked Down' COVID-19 rom-com,"LONDON: As the rest of the world was shutting down to stave off COVID-19, US star Anne Hathaway found herself starting up a whole new movie project - a rom-com heist caper...",152021.0,anne hathaway race release locked covid rom com london rest world shutting stave covid u star anne hathaway found starting whole new movie project rom com heist caper...,Travel Abroad
Tom Hanks heads TV special celebrating Biden's inauguration,"NEW YORK: Tom Hanks will host a 90-minute primetime TV special celebrating the inauguration of Joe Biden as president of the United States, with performances by Justin...",142021.0,tom hank head tv special celebrating biden inauguration new york tom hank host minute primetime tv special celebrating inauguration joe biden president united state performance justin...,Travel Abroad
Prince Charles urges business to put planet and people first,LONDON: Britain’s Prince Charles will tell businesses on Monday they must put the planet and its people first as he launches a new charter of sustainability backed by...,112021.0,prince charles urge business put planet people first london britain prince charles tell business monday must put planet people first launch new charter sustainability backed by...,Travel Abroad
Arnold Schwarzenegger compares US Capitol mob to Nazis,Former California Gov. Arnold Schwarzenegger compared the mob that stormed the US Capitol to the Nazis and called President Donald Trump a failed leader who “will go down...,112021.0,arnold schwarzenegger compare u capitol mob nazi former california gov. arnold schwarzenegger compared mob stormed u capitol nazi called president donald trump failed leader go down...,Travel Abroad
Queen Elizabeth II and husband receive COVID-19 vaccinations,"LONDON: Queen Elizabeth II and her husband, Prince Philip, have received their COVID-19 vaccinations, royal officials said Saturday.

Buckingham Palace officials said in...",102021.0,queen elizabeth ii husband receive covid vaccination london queen elizabeth ii husband prince philip received covid vaccination royal official said saturday. buckingham palace official said in...,Travel Abroad
PBS'� 'Masterpiece' marks 50th year with challenges ahead,"LOS ANGELES: As PBS' ""Masterpiece"" marks its 50th anniversary Sunday, the drama and mystery showcase could rest on its reputation built with acclaimed programs including...",92021.0,pb masterpiece mark th year challenge ahead los angeles pb masterpiece mark th anniversary sunday drama mystery showcase could rest reputation built acclaimed program including...,Travel Abroad
�Euta Yasto Prem Kahani� movie to hit theatres amid Covid-19 pandemic,KATHMANDU: The realm of Nepali films that has been at a standstill for more than nine months due to the Covid-19 pandemic is set to resurrect following the decision of...,82021.0,euta yasto prem kahani movie hit theatre amid covid pandemic kathmandu realm nepali film standstill nine month due covid pandemic set resurrect following decision of...,Travel Abroad
Grammy Awards shift to March due to pandemic conditions,NEW YORK: The 2021 Grammy Awards will no longer take place this month in Los Angeles and will broadcast in March due to a recent surge in coronavirus cases and...,62021.0,grammy award shift march due pandemic condition new york grammy award longer take place month los angeles broadcast march due recent surge coronavirus case and...,Travel Abroad
"'Wonder Woman 1984' Grabs $5.5 Million Domestically, Global Total Tops $118 Million: Box Office","LOS ANGELES: ""Wonder Woman 1984"" used its lasso of truth to rope in $5.5 million over the New Year's holiday. The sequel also ensnared another $10.1 million from overseas...",42021.0,wonder woman grab . million domestically global total top million box office los angeles wonder woman used lasso truth rope . million new year holiday. sequel also ensnared another . million overseas...,Travel Abroad
'You'll Never Walk Alone:' Singer Gerry Marsden dies at 78,"LONDON: Gerry Marsden, lead singer of the 1960s British group Gerry and the Pacemakers that had such hits as ""Ferry Cross the Mersey"" and the song that became the anthem of...",42021.0,never walk alone singer gerry marsden dy london gerry marsden lead singer british group gerry pacemaker hit ferry cross mersey song became anthem of...,Travel Abroad
Ex-India cricket captain Ganguly had heart attack: Reports,"KOLKATA, INDIA: India media reported that former India cricket captain and current BCCI president Sourav Ganguly sustained a mild heart attack after complaining of chest...",22021.0,ex india cricket captain ganguly heart attack report kolkata india india medium reported former india cricket captain current bcci president sourav ganguly sustained mild heart attack complaining chest...,Travel Abroad
Murakami urges politicians to speak sincerely about virus,TOKYO: Japanese novelist Haruki Murakami says politicians need to help reduce public uncertainty and fear over the coronavirus and gain people's support by speaking...,22021.0,murakami urge politician speak sincerely virus tokyo japanese novelist haruki murakami say politician need help reduce public uncertainty fear coronavirus gain people support speaking...,Travel Abroad
Theaters look to Bond and Black Widow to spark 2021 moviegoing,"LOS ANGELES: Movie theater operators, after a year of dismal ticket sales during the pandemic, are hoping a lineup of superheroes, fighter pilots and cinema's most famous...",12021.0,theater look bond black widow spark moviegoing los angeles movie theater operator year dismal ticket sale pandemic hoping lineup superheroes fighter pilot cinema famous...,Travel Abroad
Meghan and Harry end their eventful 2020 with first podcast,"LOS ANGELES: The Duke and Duchess of Sussex have dropped their first podcast.

Prince Harry and Meghan Markle and guests from Elton John to their son, Archie, appear on...",302020.0,meghan harry end eventful first podcast los angeles duke duchess sussex dropped first podcast. prince harry meghan markle guest elton john son archie appear on...,Travel Abroad
"""Demon Slayer"" becomes Japan's top-grossing movie","TOKYO: ""Demon Slayer"", the animated tale of a boy fighting human-eating demons that murdered his family, has shattered a nearly two-decade record to become Japan's...",282020.0,demon slayer becomes japan top grossing movie tokyo demon slayer animated tale boy fighting human eating demon murdered family shattered nearly two decade record become japan s...,Travel Abroad
A Sudan in transition presents first-ever film for Oscars,"CAIRO: Nearly two years after the overthrow of autocrat Omar al-Bashir, Sudan is taking steps to rejoin the international community from which it was long shunned. That...",262020.0,sudan transition present first ever film oscar cairo nearly two year overthrow autocrat omar al bashir sudan taking step rejoin international community long shunned. that...,Travel Abroad
"Leslie West, guitarist of rock band Mountain, has died at 75","LOS ANGELES: Leslie West, an iconic guitarist-vocalist who was behind several '70s rock anthems including “Mississippi Queen” with the popular band Mountain, has died....",262020.0,leslie west guitarist rock band mountain died los angeles leslie west iconic guitarist vocalist behind several rock anthem including mississippi queen popular band mountain died....,Travel Abroad
Tony-nominated Broadway star Rebecca Luker dies at 59,"LOS ANGELES: Soprano Rebecca Luker, a three-time Tony nominated actor who starred in some of the biggest Broadway hits of the past three decades, died Wednesday. She was...",242020.0,tony nominated broadway star rebecca luker dy los angeles soprano rebecca luker three time tony nominated actor starred biggest broadway hit past three decade died wednesday. was...,Travel Abroad
"Australian cricketer Bradman's test cap sells for $340,000","SYDNEY: An Australian businessman has purchased Donald Bradman’s first baggy green test cap for 450,000 Australian dollars ($340,000) at auction, the second-highest price...",222020.0,australian cricketer bradman test cap sell sydney australian businessman purchased donald bradman first baggy green test cap australian dollar auction second highest price...,Travel Abroad
"Chef Santosh declared runner up in Master Chef UK, Alex Webb wins",KATHMANDU: Master Chef UK – The Professional 2020 has come to an end and so have the journeys of the three finalists. Santosh Shah and Bart van der Lee were declared...,182020.0,chef santosh declared runner master chef uk alex webb win kathmandu master chef uk professional come end journey three finalists. santosh shah bart van der lee declared...,Travel Abroad
Chef Santosh makes it to top three in Master Chef UK -- The Professionals,"KATHMANDU: Chef Santosh Shah has made it to the final three in the Master Chef UK – The Professionals.

In last night's penultimate round, Chef Santosh made lamb...",172020.0,chef santosh make top three master chef uk professional kathmandu chef santosh shah made final three master chef uk professionals. last night penultimate round chef santosh made lamb...,Travel Abroad
Chef Santosh heads for final round of Master Chef UK -- The Professionals,"KATHMANDU: Chef Santosh Shah is heading towards the final round of Master Chef UK -- The Professionals.

Introducing Nepali cuisine in the Master Chef foreground, Chef...",162020.0,chef santosh head final round master chef uk professional kathmandu chef santosh shah heading towards final round master chef uk professionals. introducing nepali cuisine master chef foreground chef...,Travel Abroad
"""Demon Slayer"" nears Japan movie history, boosts economy with resilience message","TOKYO: The tale of a boy fighting human-eating demons which murdered his family, ""Demon Slayer"" is poised to become Japan's top-grossing film ever, thanks to a boost in fan...",142020.0,demon slayer nears japan movie history boost economy resilience message tokyo tale boy fighting human eating demon murdered family demon slayer poised become japan top grossing film ever thanks boost fan...,Travel Abroad
"'Dark Knight,' 'Grease' added to National Film Registry",LOS ANGELES: This year's inductees into the National Film Registry include a record number of female directors and filmmakers of color as well as a new crop of movies...,142020.0,dark knight grease added national film registry los angeles year inductee national film registry include record number female director filmmaker color well new crop movies...,Travel Abroad
Rapper Lil Wayne pleads guilty to federal weapons charge,ST. PETERSBURG: Rapper Lil Wayne pleaded guilty Friday to a federal charge that he possessed a weapon despite being a convicted felon following a 2019 search of a...,122020.0,rapper lil wayne pleads guilty federal weapon charge st. petersburg rapper lil wayne pleaded guilty friday federal charge possessed weapon despite convicted felon following search a...,Travel Abroad
South Korean filmmaker Kim Ki-duk dies from COVID-19 complications,"VILNIUS/SEOUL - South Korean filmmaker Kim Ki-duk, a controversial figure both for his work and in his personal life, died in Latvia from coronavirus complications on...",112020.0,south korean filmmaker kim ki duk dy covid complication vilnius seoul south korean filmmaker kim ki duk controversial figure work personal life died latvia coronavirus complication on...,Travel Abroad
Chef Santosh Shah enters finale week of Master Chef UK: The Professionals,"KATHMANDU: Chef Santosh Shah who hails from Siraha district has advanced to the finals week of Master Chef UK: The Professionals 2020.

Santosh impressed renowned chef A...",112020.0,chef santosh shah enters finale week master chef uk professional kathmandu chef santosh shah hail siraha district advanced final week master chef uk professional . santosh impressed renowned chef a...,Travel Abroad
"Disney unveils plans to stream a galaxy of new series, films","NEW YORK: The Walt Disney Co.'s streaming plans shifted into hyper speed Thursday, as the studio unveiled a galaxy's worth of new streaming offerings including plans for 10...",112020.0,disney unveils plan stream galaxy new series film new york walt disney co. streaming plan shifted hyper speed thursday studio unveiled galaxy worth new streaming offering including plan ...,Travel Abroad
Netflix rejects calls to add disclaimer to The Crown,"LONDON: Netflix has ""no plans"" to add a disclaimer to ""The Crown"" stating that its lavish drama about Britain's royal family is a work of fiction.

In a statement...",72020.0,netflix reject call add disclaimer crown london netflix plan add disclaimer crown stating lavish drama britain royal family work fiction. statement...,Travel Abroad
Second edition of NCIFF goes virtual,"KATHMANDU: The second Nepal Cultural International Film Festival (NCIFF) has kicked off virtually amid the ongoing coronavirus pandemic.

According to a press statement...",62020.0,second edition nciff go virtual kathmandu second nepal cultural international film festival nciff kicked virtually amid ongoing coronavirus pandemic. according press statement...,Travel Abroad
Namrata Shrestha crowned Miss Nepal World 2020,"KATHMANDU: Namrata Shrestha has been declared the winner of Miss Nepal 2020.

Shrestha, a teacher, was crowned Miss Nepal World 2020 in the grand finale of the event held...",52020.0,namrata shrestha crowned miss nepal world kathmandu namrata shrestha declared winner miss nepal . shrestha teacher crowned miss nepal world grand finale event held...,Travel Abroad
"With red carpets rolled up, the Oscar race goes virtual","NEW YORK: This is the time of year when Hollywood’s awards-season-industrial complex usually shifts into high gear. It’s a frothy, festive run of the year’s final...",52020.0,red carpet rolled oscar race go virtual new york time year hollywood award season industrial complex usually shift high gear. frothy festive run year final...,Travel Abroad
Chile zoo introduces two rare red pandas to the public,"SANTIAGO: A Chilean zoo introduced two endangered red pandas, called Ichiha and Popo, to the public on Thursday in Santiago, where the animals are housed as part of a...",42020.0,chile zoo introduces two rare red panda public santiago chilean zoo introduced two endangered red panda called ichiha popo public thursday santiago animal housed part a...,Travel Abroad
"In seismic shift, Warner Bros. to stream all 2021 films","NEW YORK: In the most seismic shift by a Hollywood studio yet during the pandemic, Warner Bros. Pictures on Thursday announced that all of its 2021 film slate — including...",42020.0,seismic shift warner bros. stream film new york seismic shift hollywood studio yet pandemic warner bros. picture thursday announced film slate including...,Travel Abroad
"'All my love, Elliot': Actor Page comes out as transgender","NEW YORK: Oscar-nominated actor Elliot Page, the star of ""Juno,"" ""Inception"" and ""The Umbrella Academy,"" came out as transgender Tuesday in an announcement greeted as a...",22020.0,love elliot actor page come transgender new york oscar nominated actor elliot page star juno inception umbrella academy came transgender tuesday announcement greeted a...,Travel Abroad
Prime Minister KP Sharma Oli makes TikTok debut,"KATHMANDU: Prime Minister KP Sharma Oli now has an account on TikTok, a popular video-sharing social networking service.

The app is popular across all sections of people...",302020.0,prime minister kp sharma oli make tiktok debut kathmandu prime minister kp sharma oli account tiktok popular video sharing social networking service. app popular across section people...,Travel Abroad
"Dave Prowse, actor who played Darth Vader, dies at 85","LONDON: Dave Prowse, the British weightlifter-turned-actor who was the body, though not the voice, of arch-villain Darth Vader in the original “Star Wars” trilogy, has...",302020.0,dave prowse actor played darth vader dy london dave prowse british weightlifter turned actor body though voice arch villain darth vader original star war trilogy has...,Travel Abroad
Fact or fiction? UK govt says 'The Crown' should be clear,"LONDON: Britain's culture minister thinks the Netflix TV series ""The Crown"" should come with a disclaimer: It's a work of fiction.

Culture Secretary Oliver Dowden...",302020.0,fact fiction uk govt say crown clear london britain culture minister think netflix tv series crown come disclaimer work fiction. culture secretary oliver dowden...,Travel Abroad
