headline,body,time_published,Text,category
India's finance minister announces new clean energy funds,India's finance minister announces new clean energy funds,3.0,india finance minister announces new clean energy fund india finance minister announces new clean energy fund,World
India to raise spending on job creation ahead of election,India to raise spending on job creation ahead of election,5.0,india raise spending job creation ahead election india raise spending job creation ahead election,World
Pakistan blames 'security lapse' for mosque blast; 100 dead,Pakistan is also contending with political and economic crises in the wake of the floods and a disputed election.,1.0,pakistan blame security lapse mosque blast dead pakistan also contending political economic crisis wake flood disputed election.,World
IMF upgrades outlook for the global economy in 2023,"The outlook for the global economy is growing slightly brighter as China eases its zero-COVID policies and the world shows surprising resilience in the face of high inflation, elevated interest rates and Russia's ongoing war against Ukraine.",1.0,imf upgrade outlook global economy outlook global economy growing slightly brighter china eas zero covid policy world show surprising resilience face high inflation elevated interest rate russia ongoing war ukraine.,World
Indian opposition's 'unity march' ends in disputed Kashmir,Indian opposition's 'unity march' ends in disputed Kashmir,2.0,indian opposition unity march end disputed kashmir indian opposition unity march end disputed kashmir,World
"Suicide bomber kills 20, wounds 96 at mosque in NW Pakistan","A suicide bomber struck Monday inside a mosque in the northwestern Pakistani city of Peshawar, killing at least 20 people and wounding as many as 96 worshippers, officials said.",2.0,suicide bomber kill wound mosque nw pakistan suicide bomber struck monday inside mosque northwestern pakistani city peshawar killing least people wounding many worshipper official said.,World
"Russians gone from Ukraine village, fear and hardship remain","To keep warm, many forage around the village for firewood, a task that presents danger post-occupation.",292023.0,russian gone ukraine village fear hardship remain keep warm many forage around village firewood task present danger post occupation.,World
Tyre Nichols' brutal beating by police shown on video,Tyre Nichols' brutal beating by police shown on video,282023.0,tyre nichols brutal beating police shown video tyre nichols brutal beating police shown video,World
Sri Lanka leader suspends parliament until policy address,Sri Lanka leader suspends parliament until policy address,282023.0,sri lanka leader suspends parliament policy address sri lanka leader suspends parliament policy address,World
Palestinian gunman kills 7 near Jerusalem synagogue,"A Palestinian gunman opened fire outside an east Jerusalem synagogue Friday night, killing seven people, including a 70-year-old woman, and wounding three others before he was shot and killed by police, officials said. It was the deadliest attack on Israelis in years and raised the likelihood of more bloodshed.",282023.0,palestinian gunman kill near jerusalem synagogue palestinian gunman opened fire outside east jerusalem synagogue friday night killing seven people including year old woman wounding three others shot killed police official said. deadliest attack israeli year raised likelihood bloodshed.,World
New barrage of Russian strikes in Ukraine kills at least 11,Kremlin spokesman Dmitry Peskov said the move to provide Ukraine with modern tanks reflected the West’s growing involvement in the conflict.,272023.0,new barrage russian strike ukraine kill least kremlin spokesman dmitry peskov said move provide ukraine modern tank reflected west growing involvement conflict.,World
