headline,body,location,time_published,Text
Nepal records three COVID-19 cases on Wednesday,"With this, a total of 6,003,944 PCR tests have been carried out till date.",Nepal,4 h ago,nepal record three covid case wednesday total pcr test carried till date.
UN Resident Coordinator Lisa Singh presents credential to Seychelles President Ramkalawan,"United Nations Resident Coordinator Lisa Simrique Singh presented her credential to President Ramkalawan of the Republic of Seychelles, on Wednesday.",Nepal,10 h ago,un resident coordinator lisa singh present credential seychelles president ramkalawan united nation resident coordinator lisa simrique singh presented credential president ramkalawan republic seychelles wednesday.
Six CAN board members boycott meeting,Six executive committee members of the Cricket Association of Nepal on Tuesday demanded the resignation of leadership and then boycotted the board meeting in Pokhara.,Nepal,13 h ago,six board member boycott meeting six executive committee member cricket association nepal tuesday demanded resignation leadership boycotted board meeting pokhara.
Seven3Sports unilaterally terminates NepalT20 contract,The Seven3Sports has unilaterally terminated the NepalT20 Cricket League contract with Cricket Association of Nepal.,Nepal,13 h ago,sevensports unilaterally terminates nepalt contract sevensports unilaterally terminated nepalt cricket league contract cricket association nepal.
Decision to free Sandeep on bail challenged in SC,The Attorney General’s Office has filed a petition in the Supreme Court demanding the annulment of the Patan High Court’s order to release former Nepal cricket team skipper Sandeep Lamichhane on bail.,Nepal,14 h ago,decision free sandeep bail challenged sc attorney general office filed petition supreme court demanding annulment patan high court order release former nepal cricket team skipper sandeep lamichhane bail.
'Lamichhane cannot get ministry back',Senior Advocate Mithilesh Kumar Singh said that as per Article 78 (4) Rabi Lamichhane cannot become a minister as the SC invalidated his election to the House of Representatives and the same ought to be interpreted as his defeat.,Nepal,14 h ago,lamichhane cannot get ministry back senior advocate mithilesh kumar singh said per article rabi lamichhane cannot become minister sc invalidated election house representative ought interpreted defeat.
PM to keep home portfolio,Prime Minister Pushpa Kamal Dahal will keep the home portfolio with himself until the Supreme Court releases the full text of the verdict delivered in the citizenship case filed against Rastriya Swatantra Party Chair Rabi Lamichhane.,Nepal,16 h ago,pm keep home portfolio prime minister pushpa kamal dahal keep home portfolio supreme court release full text verdict delivered citizenship case filed rastriya swatantra party chair rabi lamichhane.
Pokhara air crash: DNA tests of six begin,It takes at least two weeks to identify the mortal remains through DNA procedures.,Nepal,1d ago,pokhara air crash dna test six begin take least two week identify mortal remains dna procedures.
"Corruption perception down in Nepal, says TI report",Nepal has made improvement by seven positions in the Corruption Perceptions Index (CPI).,Nepal,1d ago,corruption perception nepal say ti report nepal made improvement seven position corruption perception index cpi .
Bajura quake victims left in the lurch,"The January 24 earthquake has left residents of Gaumul Rural Municipality in the lurch, many of whom have been displaced. According to rural municipality Chairperson Hari Bahadur Rokaya, all settlements are at risk and most houses have been rendered uninhabitable.",Nepal,1d ago,bajura quake victim left lurch january earthquake left resident gaumul rural municipality lurch many displaced. according rural municipality chairperson hari bahadur rokaya settlement risk house rendered uninhabitable.
Everyone should join hands to fulfil martyrs' dreams: PM,Prime Minister Pushpa Kamal Dahal has emphasised that everyone should join hands and move forward to fulfil the dreams of martyrs.,Nepal,1d ago,everyone join hand fulfil martyr dream pm prime minister pushpa kamal dahal emphasised everyone join hand move forward fulfil dream martyrs.
President Bhandari pays tributes to martyrs,"President Bidhya Devi Bhandari paid tributes to all known and unknown martyrs, including Shukraraj Shastri, Dharmabhakta Mathema, Dasharath Chand, and Gangalal Shrestha who laid down their lives for civil freedom, establishment of democracy, and defence of nationalism on the occasion of Martyrs’ Day-2023.",Nepal,1d ago,president bhandari pay tribute martyr president bidhya devi bhandari paid tribute known unknown martyr including shukraraj shastri dharmabhakta mathema dasharath chand gangalal shrestha laid life civil freedom establishment democracy defence nationalism occasion martyr day .
Police probing Acharya's self-immolation,"KATHMANDU, JANUARY 30Police have started the probe with the 6,553-word status Acharya posted on Facebook before the self-immolation.According to police sources,...",Nepal,1d ago,police probing acharya self immolation kathmandu january police started probe word status acharya posted facebook self immolation.according police source ...
Presidential election to be held on March 9,The Election Commission has decided to hold the presidential election on March 9 and the election for vice-president on March 17.,Nepal,1d ago,presidential election held march election commission decided hold presidential election march election vice president march .
Death toll from Pakistan mosque suicide bombing rises to 74,"The death toll from previous day's suicide bombing at a mosque in northwest Pakistan on Tuesday jumped to 74 after rescuers retrieved 15 more bodies from the rubble, police and rescue official said.",Nepal,1d ago,death toll pakistan mosque suicide bombing rise death toll previous day suicide bombing mosque northwest pakistan tuesday jumped rescuer retrieved body rubble police rescue official said.
Foreign Affairs Minister leaving for Sri Lanka on Thursday,Minister for Foreign Affairs Dr Bimala Rai Paudyal is leaving for Sri Lanka on Thursday to participate in the 75th Independence Day programme of Sri Lanka.,Nepal,1d ago,foreign affair minister leaving sri lanka thursday minister foreign affair dr bimala rai paudyal leaving sri lanka thursday participate th independence day programme sri lanka.
"We will launch 'Education, Earning and Health Care' campaign: Chief Minister Rawal","Chief Minister of Sudurpaschim province Rajendra Singh Rawal has said the provincial government will initiate the 'Education, Earning and Health Care' campaign.",Nepal,1d ago,launch education earning health care campaign chief minister rawal chief minister sudurpaschim province rajendra singh rawal said provincial government initiate education earning health care campaign.
Tharu Literary Conference from February 3 to 6,Banke is hosting the seventh Tharu Literary Conference from February 3 to 6 at Phattepur of Rapti Sonari Rural Municipality.,Nepal,2d ago,tharu literary conference february banke hosting seventh tharu literary conference february phattepur rapti sonari rural municipality.
Snow-capped Rara attracts inflow of tourists,Snow has added further attraction to the lake which changes its forms in different colours in the winter season.,Nepal,2d ago,snow capped rara attracts inflow tourist snow added attraction lake change form different colour winter season.
Nepal records three COVID-19 cases on Monday,"With this, a total of 6,003,142 PCR tests have been carried out till date.",Nepal,2d ago,nepal record three covid case monday total pcr test carried till date.
President's election scheduled for March 9,The Election Commission (EC) has fixed the date for the election of the President and Vice President.,Nepal,2d ago,president election scheduled march election commission ec fixed date election president vice president.
"Shaligram rock reaches Janakpurdham on way to Ayodhya, maha puja performed","The Shaligram rock for carving the childhood image of Hindu god Ram to be placed in the sanctum sanctorum of the under-construction Ram temple in Ayodhya, Uttar Pradesh, of India has arrived in Janakpurdham.",Nepal,2d ago,shaligram rock reach janakpurdham way ayodhya maha puja performed shaligram rock carving childhood image hindu god ram placed sanctum sanctorum construction ram temple ayodhya uttar pradesh india arrived janakpurdham.
Students deprived of secondary education,Students have been facing problems completing their school education due to lack of secondary level school in Ward No 6 of Manthali Municipality in Ramechhap.,Nepal,2d ago,student deprived secondary education student facing problem completing school education due lack secondary level school ward manthali municipality ramechhap.
"US Under Secretary of State Victoria Nuland to meet PM, other top leaders",US Under Secretary of State Victoria Nuland has arrived in Kathmandu. She is in Nepal for a two-day visit and is scheduled to meet Prime Minister Pushpa Kamal Dahal and other top leaders tomorrow.,Nepal,2d ago,u secretary state victoria nuland meet pm top leader u secretary state victoria nuland arrived kathmandu. nepal two day visit scheduled meet prime minister pushpa kamal dahal top leader tomorrow.
Demonstration against KMC Mayor Balendra Shah at Maitighar,A mass demonstration was held against Mayor of Kathmandu Metropolitan City Balen Shah.,Nepal,2d ago,demonstration kmc mayor balendra shah maitighar mass demonstration held mayor kathmandu metropolitan city balen shah.
Govt's decision to repeal RTI Act condemned,"The Federation of Nepali Journalists, the umbrella organisation of all working journalists in the country, has condemned the government’s decision to classify 87 kinds of information with the aim of curtailing dissemination of information of public interest.",Nepal,2d ago,govt decision repeal rti act condemned federation nepali journalist umbrella organisation working journalist country condemned government decision classify kind information aim curtailing dissemination information public interest.
Lamichhane's citizenship restored,"Rabi Lamichhane, whose election to the House of Representatives was invalidated by the Supreme Court on Friday over citizenship issue, today got his Nepali citizenship restored after he submitted evidence of renouncement of his American citizenship.",Nepal,2d ago,lamichhane citizenship restored rabi lamichhane whose election house representative invalidated supreme court friday citizenship issue today got nepali citizenship restored submitted evidence renouncement american citizenship.
Nepali Envoy holds high-level meetings in Malaysia,"Nepali Ambassador to Malaysia, Dilli Raj Poudel, has held high-level meetings in Malaysia.",Nepal,"29 Jan, 2023 ",nepali envoy hold high level meeting malaysia nepali ambassador malaysia dilli raj poudel held high level meeting malaysia.
Special worship offered to rock to be transported to Ayodhya,The special worship called 'Maha Puja' was offered to the boulder this morning.,Nepal,"29 Jan, 2023 ",special worship offered rock transported ayodhya special worship called maha puja offered boulder morning.
Nepal records four COVID-19 cases on Sunday,"With this, a total of 6,002,756 PCR tests have been carried out till date.",Nepal,"29 Jan, 2023 ",nepal record four covid case sunday total pcr test carried till date.
TIA flights halted for hours,"The visible effect of the obstruction to accessibility of government sites was seen at Tribhuvan International Airport where at least six international flights were halted for hours, and hundreds of inbound passengers were stuck in the Airport Immigration, after the website of the Department of Immigration went kaput.",Nepal,"29 Jan, 2023 ",tia flight halted hour visible effect obstruction accessibility government site seen tribhuvan international airport least six international flight halted hour hundred inbound passenger stuck airport immigration website department immigration went kaput.
