headline,body,location,time_published
Nepal records three COVID-19 cases on Wednesday,"With this, a total of 6,003,944 PCR tests have been carried out till date.",Nepal,4 h ago
UN Resident Coordinator Lisa Singh presents credential to Seychelles President Ramkalawan,"United Nations Resident Coordinator Lisa Simrique Singh presented her credential to President Ramkalawan of the Republic of Seychelles, on Wednesday.",Nepal,10 h ago
Six CAN board members boycott meeting,Six executive committee members of the Cricket Association of Nepal on Tuesday demanded the resignation of leadership and then boycotted the board meeting in Pokhara.,Nepal,13 h ago
Seven3Sports unilaterally terminates NepalT20 contract,The Seven3Sports has unilaterally terminated the NepalT20 Cricket League contract with Cricket Association of Nepal.,Nepal,13 h ago
Decision to free Sandeep on bail challenged in SC,The Attorney General’s Office has filed a petition in the Supreme Court demanding the annulment of the Patan High Court’s order to release former Nepal cricket team skipper Sandeep Lamichhane on bail.,Nepal,14 h ago
'Lamichhane cannot get ministry back',Senior Advocate Mithilesh Kumar Singh said that as per Article 78 (4) Rabi Lamichhane cannot become a minister as the SC invalidated his election to the House of Representatives and the same ought to be interpreted as his defeat.,Nepal,14 h ago
PM to keep home portfolio,Prime Minister Pushpa Kamal Dahal will keep the home portfolio with himself until the Supreme Court releases the full text of the verdict delivered in the citizenship case filed against Rastriya Swatantra Party Chair Rabi Lamichhane.,Nepal,16 h ago
Pokhara air crash: DNA tests of six begin,It takes at least two weeks to identify the mortal remains through DNA procedures.,Nepal,1d ago
"Corruption perception down in Nepal, says TI report",Nepal has made improvement by seven positions in the Corruption Perceptions Index (CPI).,Nepal,1d ago
Bajura quake victims left in the lurch,"The January 24 earthquake has left residents of Gaumul Rural Municipality in the lurch, many of whom have been displaced. According to rural municipality Chairperson Hari Bahadur Rokaya, all settlements are at risk and most houses have been rendered uninhabitable.",Nepal,1d ago
Everyone should join hands to fulfil martyrs' dreams: PM,Prime Minister Pushpa Kamal Dahal has emphasised that everyone should join hands and move forward to fulfil the dreams of martyrs.,Nepal,1d ago
President Bhandari pays tributes to martyrs,"President Bidhya Devi Bhandari paid tributes to all known and unknown martyrs, including Shukraraj Shastri, Dharmabhakta Mathema, Dasharath Chand, and Gangalal Shrestha who laid down their lives for civil freedom, establishment of democracy, and defence of nationalism on the occasion of Martyrs’ Day-2023.",Nepal,1d ago
Police probing Acharya's self-immolation,"KATHMANDU, JANUARY 30Police have started the probe with the 6,553-word status Acharya posted on Facebook before the self-immolation.According to police sources,...",Nepal,1d ago
Presidential election to be held on March 9,The Election Commission has decided to hold the presidential election on March 9 and the election for vice-president on March 17.,Nepal,1d ago
Death toll from Pakistan mosque suicide bombing rises to 74,"The death toll from previous day's suicide bombing at a mosque in northwest Pakistan on Tuesday jumped to 74 after rescuers retrieved 15 more bodies from the rubble, police and rescue official said.",Nepal,1d ago
Foreign Affairs Minister leaving for Sri Lanka on Thursday,Minister for Foreign Affairs Dr Bimala Rai Paudyal is leaving for Sri Lanka on Thursday to participate in the 75th Independence Day programme of Sri Lanka.,Nepal,1d ago
"We will launch 'Education, Earning and Health Care' campaign: Chief Minister Rawal","Chief Minister of Sudurpaschim province Rajendra Singh Rawal has said the provincial government will initiate the 'Education, Earning and Health Care' campaign.",Nepal,1d ago
Tharu Literary Conference from February 3 to 6,Banke is hosting the seventh Tharu Literary Conference from February 3 to 6 at Phattepur of Rapti Sonari Rural Municipality.,Nepal,2d ago
Snow-capped Rara attracts inflow of tourists,Snow has added further attraction to the lake which changes its forms in different colours in the winter season.,Nepal,2d ago
Nepal records three COVID-19 cases on Monday,"With this, a total of 6,003,142 PCR tests have been carried out till date.",Nepal,2d ago
President's election scheduled for March 9,The Election Commission (EC) has fixed the date for the election of the President and Vice President.,Nepal,2d ago
"Shaligram rock reaches Janakpurdham on way to Ayodhya, maha puja performed","The Shaligram rock for carving the childhood image of Hindu god Ram to be placed in the sanctum sanctorum of the under-construction Ram temple in Ayodhya, Uttar Pradesh, of India has arrived in Janakpurdham.",Nepal,2d ago
Students deprived of secondary education,Students have been facing problems completing their school education due to lack of secondary level school in Ward No 6 of Manthali Municipality in Ramechhap.,Nepal,2d ago
"US Under Secretary of State Victoria Nuland to meet PM, other top leaders",US Under Secretary of State Victoria Nuland has arrived in Kathmandu. She is in Nepal for a two-day visit and is scheduled to meet Prime Minister Pushpa Kamal Dahal and other top leaders tomorrow.,Nepal,2d ago
Demonstration against KMC Mayor Balendra Shah at Maitighar,A mass demonstration was held against Mayor of Kathmandu Metropolitan City Balen Shah.,Nepal,2d ago
Govt's decision to repeal RTI Act condemned,"The Federation of Nepali Journalists, the umbrella organisation of all working journalists in the country, has condemned the government’s decision to classify 87 kinds of information with the aim of curtailing dissemination of information of public interest.",Nepal,2d ago
Lamichhane's citizenship restored,"Rabi Lamichhane, whose election to the House of Representatives was invalidated by the Supreme Court on Friday over citizenship issue, today got his Nepali citizenship restored after he submitted evidence of renouncement of his American citizenship.",Nepal,2d ago
Nepali Envoy holds high-level meetings in Malaysia,"Nepali Ambassador to Malaysia, Dilli Raj Poudel, has held high-level meetings in Malaysia.",Nepal,"29 Jan, 2023 "
Special worship offered to rock to be transported to Ayodhya,The special worship called 'Maha Puja' was offered to the boulder this morning.,Nepal,"29 Jan, 2023 "
Nepal records four COVID-19 cases on Sunday,"With this, a total of 6,002,756 PCR tests have been carried out till date.",Nepal,"29 Jan, 2023 "
TIA flights halted for hours,"The visible effect of the obstruction to accessibility of government sites was seen at Tribhuvan International Airport where at least six international flights were halted for hours, and hundreds of inbound passengers were stuck in the Airport Immigration, after the website of the Department of Immigration went kaput.",Nepal,"29 Jan, 2023 "
Hackers obstruct govt sites for four hours,"Hundreds of government websites under the ‘.gov.np’ domain, including the Office of the Prime Minister, the President’s Office, and websites of all departments were hacked by people from unidentified places that obstructed accessibility to the websites from 12:00 noon to 4:00pm today.",Nepal,"29 Jan, 2023 "
Behind PM Dahal's consensus mantra,"Prime Minister and CPN-Maoist Centre Chair Pushpa Kamal Dahal’s idea of electing the new president through consensus has raised hackles among CPN-UML leaders, who said that as per their agreement with Dahal, they should get the post of president.",Nepal,"29 Jan, 2023 "
Search for one missing in Pokhara plane crash underway,"Search for one of 72 people killed in the Pokhara plane crash is underway, said the Nepali Army.",Nepal,"28 Jan, 2023 "
Minister Toshima Karki refutes allegations related to ICU protocol,Minister of State for Health and Population Toshima Karki has issued a clarification through Facebook after she was criticised for publicity stunt by posting a video of her visit to the Kirtipur-based burn hospital on Wednesday.,Nepal,"28 Jan, 2023 "
US undersecy of state arriving tomorrow,The States Undersecretary of State for Political Affairs Victoria Nuland is arriving in Nepal on January 29 on a two-day visit. The United States Undersecretary of State for Political Affairs Victoria Nuland is arriving in Nepal on January 29 on a two-day visit.,Nepal,"28 Jan, 2023 "
CPN-MC to forge national consensus on candidate for new president,The CPN-Maoist Centre has decided to forge national consensus on the candidate for the new president.,Nepal,"28 Jan, 2023 "
'I'm no longer the chair of RSP',"After the Supreme Court’s verdict, Rabi Lamichhane walked out of the home ministry and told mediapersons that he welcomed the court decision. He said he was now ‘stateless’ and was unable to make any comments.",Nepal,"28 Jan, 2023 "
SC invalidates Lamichhane's election to HoR,The constitutional bench of the Supreme Court today barred Deputy Prime Minister and Home Minister Rabi Lamichhane from office for failing to regain citizenship after giving up his US passport.,Nepal,"28 Jan, 2023 "
Bajura earthquake: 42 families displaced,The 5.9 magnitude earthquake that struck Bajura district on Tuesday has completely displaced 42 families.,Nepal,"27 Jan, 2023 "
Closure of Tiptala pass impacts socio-economic life in northern Taplejung,The Tiptala folks expect the government to take initiations for reopening the border to normalize their life.,Nepal,"27 Jan, 2023 "
Nepal records six COVID-19 cases on Friday,"With this, a total of 6,002,097 PCR tests have been carried out till date.",Nepal,"27 Jan, 2023 "
Quake destruction details yet to be collected,Earthquake victims in Bajura are facing problems as details of the destruction and rescue works are yet to be collected even after three days.,Nepal,"27 Jan, 2023 "
Nawa Durga temple to be promoted as peeth,The process of promoting Nawa Durga temple at Ward No 4 of Omsatiya Rural Municipality in Rupandehi district as peeth (a pilgrimage destination) has begun.,Nepal,"27 Jan, 2023 "
"Local representative, kin thrashed","A dispute over preventing grazing on the premises of the health post in Chhinnamasta Rural Municipality, Saptari, has led to thrashing of an elected local representative and his family.",Nepal,"27 Jan, 2023 "
